id,nazwisko,imie,partia,aborcja,oswiata,emerytura
1,ABRAMOWICZ,ADAM,PiS,against,for,for
2,ADAMCZYK,ANDRZEJ,PiS,against,for,for
3,ANDZEL,WALDEMAR,PiS,against,for,for
4,ARCISZEWSKA-MIELEWCZYK,DOROTA,PiS,against,for,absent
5,ARDANOWSKI,JAN KRZYSZTOF,PiS,against,for,for
6,ARENT,IWONA,PiS,against,for,for
7,AST,MAREK,PiS,against,for,for
8,BABALSKI,ZBIGNIEW,PiS,against,for,for
9,BABIARZ,PIOTR ŁUKASZ,PiS,against,for,for
10,BABINETZ,PIOTR,PiS,against,for,for
11,BARTOSIK,RYSZARD,PiS,against,for,for
12,BARTUŚ,BARBARA,PiS,against,for,for
13,BĄK,DARIUSZ,PiS,against,for,for
14,BIELECKI,JERZY,PiS,against,for,for
15,BIERNAT,ZBIGNIEW,PiS,against,for,for
16,BŁASZCZAK,MARIUSZ,PiS,against,for,for
17,BOGUCKI,JACEK,PiS,against,for,absent
18,BOROWIAK,JOANNA,PiS,against,for,for
19,BOROWIEC,AGATA,PiS,against,for,for
20,BORYS-SZOPA,BOŻENA,PiS,against,for,for
21,BRUDZIŃSKI,JOACHIM,PiS,against,for,for
22,BUBULA,BARBARA,PiS,against,for,for
23,BUCZAK,WOJCIECH,PiS,against,for,for
24,BUDA,WALDEMAR,PiS,against,for,for
25,BURZYŃSKA,LIDIA,PiS,against,for,for
26,CHMIELOWIEC,ZBIGNIEW,PiS,against,for,for
27,CICHOLSKA,ANNA,PiS,against,for,for
28,CIEŚLAK,MICHAŁ,PiS,against,for,for
29,CYMAŃSKI,TADEUSZ,PiS,against,for,for
30,CZABAŃSKI,KRZYSZTOF,PiS,against,for,for
31,CZARNECKI,PRZEMYSŁAW,PiS,against,for,for
32,CZARNECKI,WITOLD,PiS,against,for,for
33,CZARTORYSKI,ARKADIUSZ,PiS,against,for,for
34,CZECH,ANNA,PiS,against,for,for
35,CZERWIŃSKA,ANITA,PiS,against,for,for
36,CZOCHARA,KATARZYNA,PiS,against,for,for
37,DOBRZYŃSKI,LESZEK,PiS,against,for,for
38,DOLATA,ZBIGNIEW,PiS,against,for,for
39,DUDA,ANTONI,PiS,against,for,for
